ref_code,purchase_order,client,email,net,tax,grand_total,ccy,doc_date
REF-028-285,PO-6621,Rohan Kapoor,rohankapoo@sample.net,88122.67,15861.4,103984.07,INR,2025-03-09
2025234798,,Mira Rao,mirarao@demo.co,17285.67,2076.52,19362.19,INR,2025-04-26
2025-807746,PO-4302,Aditya Kapoor,adityakapo@example.com,3305.31,594.96,3900.27,INR,2025-01-27
REF-838-551,,Aditya Kapoor,adityakapo@example.com,131636.22,15796.35,147432.57,INR,2025-01-19
#2025::587,,Mira Singh,mirasingh@demo.co,87184.14,15692.65,102876.79,INR,2025-02-22
REF-168-116,,Ritvik Bansal,ritvikbans@example.com,23238.32,1161.52,24399.84,INR,2025-07-06
2025/676708,,Arjun Bansal,arjunbansa@example.com,59759.29,10756.67,70515.96,INR,2025-05-02
2025564666,,Pari Reddy,parireddy@mailinator.com,147820.75,7391.54,155212.29,INR,2025-03-13
REF-920-891,,Aisha Bansal,aishabansa@sample.net,164558.94,8227.5,172786.44,INR,2025-02-23
2025-454036,,Aarav Das,aaravdas@sample.net,120578.95,6028.95,126607.9,INR,2025-02-09
2025138065,PO-8097,Rohan Menon,rohanmenon@test.org,20796.94,1039.85,21836.79,INR,2025-04-22
2025/622361,PO-4795,Arjun Bansal,arjunbansa@example.com,188205.12,9410.76,197615.88,INR,2025-05-14
2025/695254,,Aarav Singh,aaravsingh@mailinator.com,2578.7,466.53,3045.23,INR,2025-06-18
2025/574448,,Aarav Chopra,aaravchopr@sample.net,11090.46,1330.86,12421.32,INR,2025-06-27
INV-2025230419,PO-8197,Ira Khan,irakhan@demo.co,39141.5,4696.98,43838.48,INR,2025-02-28
INV-2025709675,PO-6799,Diya Mehta,diyamehta@mailinator.com,170585.38,30705.37,201290.75,INR,2025-04-18
2025/761922,,Riya,riyareddy@test.org,39981.65,7196.7,47178.35,INR,2025-06-30
2025/222367,PO-7335,Diya Bansal,diyabansal@demo.co,165879.81,19905.58,185785.39,INR,2025-03-27
REF-977-810,,Mira Nair,miranair@mailinator.com,29750.32,3570.04,33320.36,INR,2025-03-30
INV-2025991900,PO-7413,Rohan Kapoor,rohankapoo@mailinator.com,101271.16,5063.06,106334.22,INR,2025-07-13
#2025::235,,Aarav Das,aaravdas @ test.org,24522.12,4414.48,28936.6,INR,2025-01-02
REF-797-240,,Aarav Kulkarni,aaravkulka@sample.net,57578.03,2878.9,60456.93,INR,2025-03-20
2025569600,PO-1639,Kiara Reddy,kiarareddy@test.org,194631.73,35034.89,229666.62,INR,2025-07-30
2025-969033,,Sai Verma,saiverma@sample.net,30283.96,3634.08,33918.04,INR,2025-06-15
2025658807,PO-1846,Aarav Reddy,aaravreddy @ test.org,123689.72,22264.47,145954.19,INR,2025-04-28
#2025::631,PO-7638,Kiara Reddy,kiarareddy@example.com,136700.14,6835.46,143535.6,INR,2025-06-21
2025983591,,Ira Mehta,iramehta@sample.net,91670.04,11000.4,102670.44,INR,2025-02-11
REF-433-742,,Mira Kulkarni,mirakulkar@demo.co,191841.56,23021.61,214863.17,INR,2025-07-25
2025/974051,PO-5389,Aisha,aishakulka@test.org,184283.46,33171.02,217454.48,INR,2025-03-05
REF-391-585,,Ishaan Nair,ishaannair@mailinator.com,127238.01,15268.56,142506.57,INR,2025-07-09
2025846750,PO-4300,Rohan,rohaniyer@example.com,5669.75,281.39,5951.14,INR,2025-07-27
#2025::106,PO-3183,Anaya Gupta,anayagupta@example.com,135134.22,24323.84,159458.06,INR,2025-06-12
REF-668-470,PO-4647,Navya Bansal,navyabansa@mailinator.com,10985.02,1319.32,12304.34,INR,2025-04-29
REF-852-544,,Kiara Singh,kiarasingh@demo.co,107227.18,5363.46,112590.64,INR,2025-05-29
REF-257-919,,Vihaan Kapoor,vihaankapo@example.com,43785.1,5254.21,49039.31,INR,2025-01-10
INV-2025541401,,Sai Kapoor,saikapoor@test.org,87529.34,10503.52,98032.86,INR,2025-03-25
INV-2025173834,PO-3492,Diya Chopra,diyachopra@test.org,3901.91,195.1,4097.01,INR,2025-01-03
2025/996171,,Riya Nair,riyanair @ example.com,192759.0,34697.8,227456.8,INR,2025-07-24
INV-2025410694,,Ira Mehta,iramehta@sample.net,15613.85,2809.99,18423.84,INR,2025-01-11
2025549883,PO-7621,Riya Reddy,riyareddy@test.org,125519.72,22593.37,148113.09,INR,2025-01-28
2025-434637,PO-8766,Ishaan Pillai,ishaanpill @ test.org,105930.0,5297.0,111227.0,INR,2025-06-13
2025-203331,PO-1590,Aisha Mehta,aishamehta@mailinator.com,136137.92,24504.83,160642.75,INR,2025-01-25
2025636164,PO-4284,Pari Reddy,parireddy@mailinator.com,175148.58,31526.24,206674.82,INR,2025-07-20
2025313191,,Riya Nair,riyanair@example.com,43417.59,5210.49,48628.08,INR,2025-03-11
REF-978-753,PO-2326,Ritvik Pillai,ritvikpill@sample.net,26487.41,1324.37,27811.78,INR,2025-03-20
#2025::212,PO-2945,Vihaan Nair,vihaannair@example.com,178936.47,8944.72,187881.19,INR,2025-03-03
#2025::932,PO-1469,Arjun Khan,arjunkhan@test.org,3003.33,150.57,3153.9,INR,2025-02-19
#2025::321,,Arjun Khan,arjunkhan @ test.org,105448.22,12654.91,118103.13,INR,2025-07-26
2025/491584,,Kiara Kulkarni,kiarakulka@demo.co,147569.9,17709.51,165279.41,INR,2025-07-30
REF-080-297,,Arjun Sharma,arjunsharm@sample.net,18322.74,2199.85,20522.59,INR,2025-02-11
2025-478372,,Kiara Ghosh,kiaraghosh@demo.co,198713.36,9936.07,208649.43,INR,2025-03-16
2025/382150,PO-7259,Aarav Sharma,aaravsharm@example.com,165730.77,29831.54,195562.31,INR,2025-03-10
INV-2025352028,PO-1669,Vihaan Khan,vihaankhan@demo.co,92621.51,16671.87,109293.38,INR,2025-06-07
2025-880068,,Riya Gupta,riyagupta @ mailinator.com,189166.98,34050.06,223217.04,INR,2025-02-24
INV-2025661987,PO-6962,Arjun Iyer,arjuniyer @ example.com,81466.13,14664.4,96130.53,INR,2025-01-14
#2025::711,PO-8603,Aarav Kulkarni,aaravkulka@example.com,156694.27,7834.71,164528.98,INR,2025-01-12
REF-065-242,PO-2001,Aarav Singh,aaravsingh @ mailinator.com,153001.06,18359.89,171360.95,INR,2025-07-29
REF-281-611,PO-8779,Navya,navyamenon@mailinator.com,21101.73,3795.95,24897.68,INR,2025-04-30
INV-2025384166,,Ira Khan,irakhan@demo.co,93832.79,11261.05,105093.84,INR,2025-07-03
2025-679542,,Aarav Ghosh,aaravghosh@demo.co,61776.14,7412.9,69189.04,INR,2025-01-18
2025-853736,,Ritvik Bansal,ritvikbans@example.com,93475.47,11216.68,104692.15,INR,2025-03-07
2025824004,PO-3009,Kiara Kapoor,kiarakapoo@test.org,96242.75,17323.69,113566.44,INR,2025-04-10
INV-2025633114,PO-3990,Rohan Nair,rohannair@test.org,132335.8,15880.3,148216.1,INR,2025-05-10
2025348594,,Vihaan Menon,vihaanmeno@test.org,135774.46,24441.76,160216.22,INR,2025-04-27
REF-107-536,,Ritvik Bansal,aaravghosh@sample.net,104644.31,12557.2,117200.51,INR,2025-06-19
REF-683-235,,Kiara Pillai,ishaanredd@test.org,12166.94,607.75,12773.19,INR,2025-05-20
REF-521-416,,Ishaan Chopra,miradas@mailinator.com,145643.69,7282.73,152926.92,INR,2025-06-19
REF-476-264,,Sai Menon,saranair@test.org,24456.8,2934.44,27392.74,INR,2025-07-08
REF-576-887,,Sai Mehta,ishaangupt@mailinator.com,31521.72,5674.41,37195.63,INR,2025-02-08
REF-815-106,,Anaya Iyer,saimukherj@test.org,165167.56,8257.78,173423.84,INR,2025-06-07
REF-510-437,,Aarav Menon,parirao@mailinator.com,94061.7,11286.66,105346.86,INR,2025-07-10
REF-368-150,,Ishaan Rao,saidas@example.com,103030.52,5151.08,108183.1,INR,2025-07-22
REF-218-106,,Krishna Kulkarni,adityakapo@demo.co,169149.42,8458.02,177607.94,INR,2025-07-21
REF-089-689,,Mira Kapoor,riyanair@mailinator.com,191023.55,9550.63,200573.68,INR,2025-07-05
REF-991-253,,Vivaan Sharma,miramukher@test.org,24110.84,4339.77,28449.61,INR,2025-05-07
REF-716-480,,Arjun Kulkarni,arjunmehta@sample.net,159558.47,7977.92,167536.39,INR,2025-04-14
REF-807-461,,Vivaan Reddy,vivaanmukh@example.com,123690.72,22264.47,145952.69,INR,2025-04-28
REF-313-579,,Pari Menon,vihaanredd@test.org,155832.45,28049.84,183882.29,INR,2025-02-15
REF-442-701,,Navya Iyer,adityagupt@demo.co,146427.7,17570.82,163999.02,INR,2025-06-17
REF-789-674,,Arjun Patel,ishaanbans@test.org,6780.83,339.49,7118.82,INR,2025-07-21
REF-388-521,,Riya Nair,kiarasingh@demo.co,23540.22,2824.71,26363.93,INR,2025-03-14
REF-473-303,,Rohan Nair,kiarasharm@sample.net,82065.33,9848.22,91912.05,INR,2025-04-04
REF-535-282,,Navya Nair,vivaanghos@demo.co,21427.3,2571.54,23996.34,INR,2025-01-10
REF-535-394,,Vihaan Reddy,saragupta@sample.net,21424.3,2571.04,23996.34,INR,2025-01-10
REF-708-900,,Ritvik Iyer,arjunpatel@mailinator.com,59759.29,10756.17,70515.96,INR,2025-05-01
REF-418-850,,Mira Ghosh,iradas@mailinator.com,21833.88,2619.95,24452.83,INR,2025-08-02
REF-191-847,,Aditya Bansal,ritviksing@example.com,43415.59,5209.99,48626.58,INR,2025-03-11
REF-994-692,,Vihaan Bansal,arjunmenon@test.org,195719.01,35228.92,230948.43,INR,2025-07-22
REF-368-854,,Vivaan Kulkarni,diyakapoor@test.org,103031.52,5151.58,108183.1,INR,2025-07-22
